OBJECTID,NBHD_NAME,NBHD_ID,DIST_NUM,Nmbr_Age25Plus_NoDiplomaOrGED,Pct_Age25Plus_NoDiplomaOrGED,Nmbr_Age25Plus_NoCollDegree,Pct_Age25Plus_NoCollDegree,Nmbr_Age25Plus_LessThanBA,Pct_Age25Plus_LessThanBA,Nmbr_PopulationUnder18,Pct_PopulationUnder18,Nmbr_PopulationOver70,Pct_PopulationOver70,Nmbr_Age25Plus,Pct_Age25Plus,Nmbr_OccupiedUnitsWithRenters,Pct_OccupiedUnitsWithRenters,Nmbr_OccupiedUnitsWithOwners,Pct_OccupiedUnitsWithOwners,Nmbr_OccupiedUnits,Nmbr_HouseholdsCostBurdened,Pct_HouseholdsCostBurdened,Nmbr_PerCapitaIncome,Nmbr_PopulationPovDetermined,Nmbr_PopulationInPoverty,Pct_PopulationInPoverty,Nmbr_HouseholdsNoVehAccess,Pct_HouseholdsNoVehAccess,Nmbr_Households,Nmbr_PopulationWithDisability,Pct_PopulationWithDisability,Nmbr_PopCivilianNonInstitution,Nmbr_Population,Nmbr_Under18SingleParentFam,Pct_Under18InSingleParentFam,Nmbr_PopUnder18InHouseholds,Nmbr_PopulationDensity,Nmbr_PopNonHispanicWhite,Pct_PopNonHispanicWhite,Nmbr_PopulationMinority,Pct_PopulationMinority,Pct_PopOver16Unemployed,GlobalID,Shape__Area,Shape__Length
266,Kennedy,40,4,499,18.81598793,1617,60.97285068,1774,66.89291101,460,11.11648139,0,0,2652,64.08893185,2077,100,0,0,2077,1009,48.57968223,33128,4138,321,7.75737071,277,13.33654309,2077,493,11.93993703,4129,4138,0,0,460,5893.58480873,1270,30.69115515,2868,69.30884485,5.1,39886725-6517-44da-b0cd-676564339b60,19575087.7836914,23549.2361928089
267,Hampden,32,4,842,5.70499356,6146,41.6423877,7225,48.95318111,3566,18.27780625,2085,10.68682727,14759,75.64838544,4786,50.71526968,4651,49.28473032,9437,3376,35.77408075,229592,19373,1920,9.91070046,602,6.37914592,9437,2174,11.17795259,19449,19510,1687,47.30790802,3566,6908.96573329,12545,64.30035879,6965,35.69964121,5.37875676,5a24d252-9b4e-4a9f-8a5f-6c54375adae5,78729410.5898438,62375.6579350547
268,Baker,3,7,324,6.14800759,1270,24.09867173,1451,27.53320683,317,4.92388941,382,5.93351973,5270,81.85771979,2019,59.5750959,1370,40.4249041,3389,1016,29.97934494,125950,6438,518,8.04597701,542,15.99291826,3389,748,11.61851507,6438,6438,85,28.42809365,299,4316.38298928,4421,68.67039453,2017,31.32960547,1.79229894,1128f97f-419b-4e1a-8505-ae2b140194f6,41583761.3193359,32991.5434733628
269,Fort Logan,27,2,623,9.52599388,3755,57.41590214,4135,63.22629969,1964,22.05007298,1244,13.96654317,6540,73.42539576,693,21.13449222,2586,78.86550778,3279,857,26.13601708,131957,8421,1045,12.40945256,171,5.21500457,3279,1009,11.94931312,8444,8907,356,18.56100104,1918,3356.11557066,5877,65.98181206,3030,34.01818794,3.99983184,0a67bdd9-f4bc-4885-a352-99fefa32b622,73992434.0410156,51921.5265697452
270,Bear Valley,6,2,467,7.53712072,3179,51.30729503,3547,57.24661072,1411,17.25782779,1390,17.00097847,6196,75.78277886,1252,34.45239406,2382,65.54760594,3634,1268,34.89268024,79321,8173,558,6.82735838,221,6.08145294,3634,1098,13.49723417,8135,8176,608,43.09000709,1411,6047.04653027,4668,57.09393346,3508,42.90606654,2.19009585,d7a9a3bf-c07c-43ad-ac83-4f57b0cdecf6,37695572.3540039,35108.4937237902
271,Harvey Park South,35,2,1237,19.75407218,3762,60.07665283,4212,67.26285532,1892,21.14202704,805,8.99541848,6262,69.9742988,1452,40.83239595,2104,59.16760405,3556,885,24.88751406,74109,8666,1006,11.60858528,391,10.99550056,3556,1205,13.85057471,8700,8949,541,28.59408034,1892,6548.41030562,3638,40.65258688,5311,59.34741312,3.62779307,34189b07-5daa-41fd-90ae-8212cf85319a,38100563.090332,26811.3823770303
272,Southmoor Park,58,4,89,1.8207856,1113,22.7700491,1385,28.33469722,564,9.32231405,490,8.09917355,4888,80.79338843,2586,74.05498282,906,25.94501718,3492,1152,32.98969072,125970,6039,566,9.37241265,131,3.75143184,3492,536,8.89331342,6027,6050,166,29.43262411,564,6492.16761992,5005,82.72727273,1045,17.27272727,2.45969342,3d8069d8-0275-4598-93f9-dca39f167b0f,25981152.9619141,35113.1244133153
273,Hampden South,33,4,357,2.80373832,4555,35.77318778,5385,42.29168303,2628,15.71958368,1963,11.74183515,12733,76.16341668,4273,51.81906379,3973,48.18093621,8246,3186,38.63691487,220495,16718,1324,7.91960761,335,4.06257579,8246,1721,10.30292146,16704,16718,706,26.86453577,2628,5742.31778518,11851,70.88766599,4867,29.11233401,4.00178684,b0a21cc5-dace-420d-89ca-2b724e49cb0e,81168938.6474609,38297.5048545833
274,Goldsmith,30,4,208,5.03753936,2106,51.00508598,2532,61.32235408,1288,21.75308225,595,10.04897821,4129,69.73484209,1829,69.57017878,800,30.42982122,2629,1148,43.66679346,69821,5596,922,16.47605432,348,13.23697223,2629,777,13.83793411,5615,5921,337,26.16459627,1288,7655.78507503,4290,72.45397737,1631,27.54602263,7.17269998,9385fe14-ebf6-45d9-86bc-f3593fed6254,21562449.6235352,34328.5018848515
275,Cory - Merrill,21,6,21,0.69306931,531,17.52475248,660,21.78217822,961,22.7995255,423,10.03558719,3030,71.886121,301,17.66431925,1403,82.33568075,1704,342,20.07042254,82192,4136,214,5.17408124,13,0.7629108,1704,182,4.35615127,4178,4215,105,11.01783841,953,5023.76481176,3572,84.74495848,643,15.25504152,4.5,bbc113ed-aa43-49d5-b6af-b4fe343e9b56,23391660.3188477,19901.6152371189
276,Windsor,78,5,849,7.41096369,5358,46.7702514,6566,57.31494413,1954,13.49447514,3084,21.29834254,11456,79.1160221,4470,54.31348724,3760,45.68651276,8230,4091,49.70838396,146023,14448,2406,16.65282392,868,10.54678007,8230,2516,17.48922564,14386,14480,816,41.7604913,1954,8471.34131185,7256,50.11049724,7224,49.88950276,6.11858103,a9ffe57c-afe8-4aec-b709-f804bf60b8b7,47655074.3427734,38058.0801890481
277,Belcaro,7,10,24,0.60836502,753,19.08745247,775,19.64512041,683,14.02752105,1289,26.47360854,3945,81.02279729,716,28.95268904,1757,71.04731096,2473,686,27.73958755,96155,4869,363,7.45532964,181,7.31904569,2473,718,14.74635449,4869,4869,59,8.63836018,683,4179.32968153,4019,82.54261655,850,17.45738345,3,047c702c-24b0-451a-852a-f53f686879b7,32480739.8217773,24881.0390041369
278,Washington Park,70,6,105,1.86269292,781,13.85488735,955,16.94163562,1334,18.26896741,847,11.59956176,5637,77.19802794,477,15.01416431,2700,84.98583569,3177,690,21.71860246,215089,7302,313,4.28649685,41,1.29052565,3177,519,7.11446196,7295,7302,76,5.69715142,1334,4834.15744205,6509,89.13996165,793,10.86003835,3.85902551,9eae2c46-a37e-4558-9b23-546bdc286a54,42112769.8930664,30834.6168993115
279,Washington Park West,71,7,91,1.52326749,1101,18.42986274,1253,20.97422163,909,12.31373611,421,5.7030615,5974,80.92657816,2009,51.68510419,1878,48.31489581,3887,1225,31.51530744,141259,7382,463,6.272013,153,3.93619758,3887,488,6.64940728,7339,7382,106,11.66116612,909,8459.91309885,6167,83.54104579,1215,16.45895421,4.29655172,0bc4e05e-642e-449d-8e07-674785190c94,24327691.9746094,22033.04499616
280,Speer,59,10,294,2.74689339,2174,20.31206204,2677,25.01167897,608,5.07427808,666,5.55833751,10703,89.32565515,5724,72.10884354,2214,27.89115646,7938,2583,32.53968254,257653,11982,866,7.22750793,926,11.6654069,7938,961,8.041841,11950,11982,87,14.30921053,608,14031.42948159,10043,83.81739276,1939,16.18260724,2.34458063,e35f19a6-6046-4a72-b144-eab4fccf9b02,23807849.4023438,19917.380410521
281,Cherry Creek,13,10,57,0.9735269,1111,18.97523484,1298,22.16908625,362,5.6316117,1789,27.83136279,5855,91.0858743,2100,51.2195122,2000,48.7804878,4100,1245,30.36585366,208362,6428,299,4.65152458,521,12.70731707,4100,1027,16.02184087,6410,6428,105,29.00552486,362,7682.21765124,5396,83.94523958,1032,16.05476042,5.0296646,c2f66d91-ab8c-40f6-9383-a6ba66d2f5e1,23328242.9785156,20181.1335168791
282,Country Club,22,10,13,0.53169734,161,6.58486708,220,8.99795501,686,21.15977791,481,14.83652067,2445,75.41640962,155,11.36363636,1209,88.63636364,1364,254,18.62170088,160709,3242,74,2.28254164,7,0.51319648,1364,150,4.6267736,3242,3242,70,10.20408163,686,4992.67277947,2877,88.74151758,365,11.25848242,2.9,be360ed1-5207-46d6-a4f2-dbd0afae40b7,18103922.2871094,17113.19382028
283,Congress Park,20,10,311,3.42134213,1697,18.66886689,1964,21.60616062,1722,15.04587156,720,6.29095675,9090,79.42332896,3409,56.2634098,2650,43.7365902,6059,1982,32.71166859,192339,11370,1128,9.92084433,887,14.63937944,6059,886,7.77738764,11392,11445,407,23.63530778,1722,11120.4815312,8839,77.23023154,2606,22.76976846,3.3506529,0b117cd8-e18a-496d-a5e6-6d9936fe1008,28693595.6020508,21415.6010936069
284,City Park,14,9,49,1.63007319,534,17.76447106,638,21.22421823,525,14.61988304,415,11.55666945,3006,83.70927318,1174,61.69206516,729,38.30793484,1903,530,27.85076195,73969,3477,356,10.23871153,242,12.71676301,1903,242,6.96002301,3477,3591,284,54.0952381,525,4673.21590221,2816,78.41826789,775,21.58173211,1.3,18b090a0-b639-4c80-bd40-4de5160ce5b2,21423593.9672852,18660.4167263034
285,Capitol Hill,9,10,522,3.53970299,3994,27.08347461,5108,34.6375534,250,1.55086849,610,3.78411911,14747,91.48263027,9048,76.16802761,2831,23.83197239,11879,4581,38.56385218,344530,16075,1524,9.48055988,2420,20.37208519,11879,1982,12.32817068,16077,16120,74,31.4893617,235,23832.6954431,11919,73.93920596,4201,26.06079404,4.139084,b08f2274-4542-45fd-b6eb-1339b9bd7936,18857522.8930664,17446.2262570727
286,North Capitol Hill,47,10,129,2.0027946,1624,25.21347617,1801,27.96149666,164,2.24811515,445,6.10006854,6441,88.29335161,4325,87.88864052,596,12.11135948,4921,1792,36.41536273,186436,7223,825,11.42184688,1283,26.0719366,4921,951,13.15170792,7231,7295,63,40.38461538,156,20692.12063328,5174,70.9252913,2121,29.0747087,2.61968767,093e290c-51e4-4c4c-ad06-52b2b279f982,9829084.39697266,12487.5950127991
287,Civic Center,16,10,6,0.24865313,588,24.36800663,806,33.40240365,70,2.48933144,115,4.08961593,2413,85.81081081,1437,76.64,438,23.36,1875,711,37.92,93375,2812,249,8.85490754,241,12.85333333,1875,309,10.9886202,2812,2812,45,64.28571429,70,9253.59411417,1921,68.314367,891,31.685633,3,66cae562-4fcb-45ab-b8b7-04df57722865,8472228.09033203,13890.0455047812
288,CBD,10,9,140,4.24371022,973,29.493786,1026,31.10033343,20,0.43187217,205,4.4266897,3299,71.23731376,2067,73.14225053,759,26.85774947,2826,1017,35.98726115,208374,4256,987,23.19078947,960,33.97027601,2826,578,12.48110559,4631,4631,13,100,13,10743.19169238,3255,70.28719499,1376,29.71280501,4.91457341,a26b1bad-6931-4a2d-aa20-6327475f90bd,12018056.0600586,13717.962639335
289,Union Station,63,9,128,1.67648985,1230,16.11001965,1598,20.92992796,148,1.71534539,872,10.10662958,7635,88.49095967,4054,72.32827832,1551,27.67172168,5605,2132,38.03746655,309353,8628,855,9.90959666,1052,18.76895629,5605,907,10.51228558,8628,8628,87,58.78378378,148,19667.48272871,6860,79.50857673,1768,20.49142327,2.56002357,ee4a86d6-20f9-4ae2-b099-b42e65a97e02,12230779.2705078,14577.4684157181
290,Central Park,60,8,408,2.08418472,4963,25.35247242,5653,28.87719657,9561,31.93493437,1021,3.41026754,19576,65.38628545,3024,29.71406112,7153,70.28593888,10177,2650,26.03910779,372033,27842,804,2.88772358,388,3.81251842,10177,1244,4.44873583,27963,29939,1232,12.88568141,9561,3332.99903613,20022,66.87598116,9917,33.12401884,3.56434828,94aa3ce8-bb4d-408b-bcaa-e95dda455571,250434911.906738,95885.7158159308
291,Montbello,45,11,6032,28.85986316,16427,78.59432563,18020,86.21597053,10620,30.19876589,1992,5.66440129,20901,59.43355987,3584,36.77406115,6162,63.22593885,9746,3673,37.68725631,137438,35002,4456,12.7307011,640,6.56679663,9746,3282,9.33978372,35140,35167,2500,23.56045613,10611,6947.73788536,2948,8.38285893,32219,91.61714107,7.47287606,f6456940-82b5-4a2e-8aab-4f3031755cb8,141118731.907227,49232.5089944316
292,Lowry Field,42,5,97,1.38058639,1653,23.52690009,1969,28.0244805,1418,15.73632227,1241,13.77205638,7026,77.97136833,2063,46.56884876,2367,53.43115124,4430,1322,29.84198646,147530,8962,771,8.6029904,503,11.35440181,4430,827,9.20422927,8985,9011,291,20.83035075,1397,3494.2190682,6658,73.88747087,2353,26.11252913,5.11365228,3c6caca7-8002-43ea-a77e-2a8265f65bd2,71897804.6552734,41607.2250300468
293,West Colfax,74,1,597,7.20144753,3542,42.72617612,3794,45.76598311,1678,16.15636434,676,6.50876179,8290,79.8189871,3052,59.7611122,2055,40.2388878,5107,1523,29.8218132,241289,10338,1017,9.83749275,914,17.89700411,5107,1166,11.27877733,10338,10386,467,27.83075089,1678,10347.46530915,5754,55.40150202,4632,44.59849798,4.11664796,896bda5f-f0ee-4b77-a484-b47c1e0c44a1,27983827.0869141,24946.7645454051
294,West Highland,75,1,88,1.12517581,2013,25.73839662,2696,34.47129523,1477,15.21582363,454,4.67703719,7821,80.57072216,1812,35.66929134,3268,64.33070866,5080,1257,24.74409449,145793,9610,623,6.48283039,228,4.48818898,5080,595,6.17668431,9633,9707,323,22.60321903,1429,8646.84625441,8062,83.05346657,1645,16.94653343,2.96033607,5f470ff9-235e-456c-bd68-bde78cf08c3c,31298250.487793,23646.8559373394
295,Sloan Lake,56,1,429,6.96315533,1707,27.70654115,1875,30.43337121,1530,19.09158972,506,6.31395059,6161,76.87796356,1710,44.89367288,2099,55.10632712,3809,1190,31.24179575,202438,7979,1127,14.12457701,665,17.45865056,3809,1319,16.47514364,8006,8014,601,39.28104575,1530,5727.35873106,5849,72.98477664,2165,27.01522336,3.29784173,77ba1da0-9b07-408a-84c8-b1c7fa59c465,39011057.3637695,26370.1944756071
296,Berkeley,8,1,233,3.19659761,2013,27.61695706,2248,30.84099328,1601,17.53559693,672,7.36035049,7289,79.83570646,1378,31.7804428,2958,68.2195572,4336,1083,24.97693727,133749,9093,774,8.51204223,283,6.52675277,4336,989,10.87649841,9093,9130,420,26.75159236,1570,6094.94527477,6816,74.65498357,2314,25.34501643,4.35275362,aa17a9ac-8060-4d27-be2c-92c3d0dcc598,41763196.9677734,26780.9066406542
297,Regis,52,1,182,6.1155914,1442,48.45430108,1562,52.48655914,648,13.67088608,396,8.35443038,2976,62.78481013,580,33.42939481,1155,66.57060519,1735,545,31.41210375,40183,4005,760,18.97627965,192,11.06628242,1735,342,7.21518987,4740,4740,241,37.19135802,648,4656.48730272,3145,66.35021097,1595,33.64978903,4,ae6359ee-8355-40eb-9b78-1b3833b81ac2,28380019.4057617,28760.0002814859
298,Lincoln Park,41,3,611,12.20779221,2601,51.96803197,2826,56.46353646,1060,16.14377094,309,4.70606153,5005,76.22601279,2277,67.94986571,1074,32.05013429,3351,1284,38.31692032,84247,6505,1639,25.19600307,833,24.85825127,3351,991,15.1621787,6536,6566,410,39.84450923,1029,5145.59090599,2775,42.26317393,3791,57.73682607,6.18970588,6bab0095-b3e8-4810-a0a9-9f81c740201f,35576104.546875,25194.4615183795
299,City Park West,15,9,229,5.12763099,1489,33.34079713,1705,38.1773399,713,13.14043494,368,6.78215997,4466,82.30740877,2047,69.06207827,917,30.93792173,2964,1004,33.8731444,108455,5172,769,14.86852282,579,19.53441296,2964,582,11.1643967,5213,5426,326,45.72230014,713,10143.04599759,3518,64.83597494,1908,35.16402506,3.15975944,59c6f5fc-77a1-49a1-8d92-5f908e1ffab9,14914344.2744141,15458.9521753965
300,Whittier,77,9,228,6.42615558,1070,30.1578354,1204,33.93461105,1004,20.94721469,201,4.19361569,3548,74.02461924,881,41.07226107,1264,58.92773893,2145,417,19.44055944,58190,4705,477,10.1381509,323,15.05827506,2145,307,6.46996839,4745,4793,544,56.90376569,956,8511.99753589,2685,56.01919466,2108,43.98080534,2.3,50417586-9ab6-49c1-afd2-08f8da2ee92d,15698881.425293,15874.2658729748
301,Skyland,55,9,119,4.22435215,924,32.80085197,1221,43.34398296,427,12.48173049,342,9.99707688,2817,82.34434376,532,34.08071749,1029,65.91928251,1561,584,37.41191544,52932,3421,365,10.66939491,77,4.93273543,1561,476,13.91406022,3421,3421,55,12.88056206,427,4481.48162394,1891,55.27623502,1530,44.72376498,3,2e37bdc5-e369-4c7a-aed6-2047c9c4f4d7,21282577.5039063,18885.8211971761
302,Cole,18,9,527,17.13821138,1628,52.94308943,1804,58.66666667,924,20.54246332,129,2.86794131,3075,68.36371721,867,50.94007051,835,49.05992949,1702,632,37.13278496,37709,4425,663,14.98305085,306,17.97884841,1702,420,9.33748333,4498,4498,282,30.55254605,923,8783.85159332,1784,39.66207203,2714,60.33792797,5.8,31e46605-6c9c-49a8-97c5-123709953666,14276680.1850586,14883.8611166321
303,Marston,44,2,369,3.9900519,3999,43.24178201,4866,52.61678201,2405,19.84978541,1144,9.44206009,9248,76.32882139,1913,34.46846847,3637,65.53153153,5550,1614,29.08108108,133412,12116,778,6.42126114,68,1.22522523,5550,898,7.4227145,12098,12116,636,26.63316583,2388,3822.70424822,8448,69.72598217,3668,30.27401783,4.63131374,cab47968-2e38-43c9-9c9f-56de80a7e1dc,88365214.2724609,76905.2796009931
304,Washington Virginia Vale,72,5,541,5.05135387,4389,40.98039216,5014,46.81605976,2899,19.62098139,1426,9.65143824,10710,72.48730964,3859,57.28068873,2878,42.71931127,6737,3052,45.30206323,153701,14617,2001,13.68953958,539,8.00059374,6737,1841,12.57685476,14638,14775,770,26.56088306,2899,8079.21036144,8098,54.80879865,6677,45.19120135,6.58908851,67ab9a8c-8a7d-493b-9427-975fe6d62cdb,50986047.1040039,41286.481819441
305,Barnum,4,3,1162,30.11923276,3113,80.68947641,3209,83.17781234,1687,28.56417203,401,6.78970538,3858,65.32339993,868,44.92753623,1064,55.07246377,1932,974,50.41407867,19851,5893,1297,22.00916341,117,6.05590062,1932,686,11.61530647,5906,5906,516,30.58684055,1687,7655.76430415,1280,21.67287504,4626,78.32712496,5.7,41d8aeb7-223b-42eb-9832-b3f728a83f37,21507882.6171875,18715.2199318926
